,_index,_type,_id,_score,sort,redVarietal,isVQA,subCategory,consumerRating,featured,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured,promotionEndDate,isBCSpirit,sku,isLimitedTimeOffer,_featured,image,availableUnits,last_updated,subRegion,unitSize,upc,_blacklist,isDealcoholizedWine,volume,certificates,name,style,countryName,isBCCraft,region,statusCode,status,color,grapeType,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions,promotions,nameSanitized,isBCVQA,_promotionEndDate,votes,category,is_special_release,availability_override,category_id,subCategory_id,class_id,totalVolume,totalPrice,totalAlcoholContent,alcoholCost,storePercent
0,bcls,product,399865,0.3555091,1573  NATIONAL CELLAR -,,,Asian Spirits,3.1,[],,257.99,,,,,"The National Cellar 1573 is originated from the 1573 treasure-class national cellars, a continuously used and well-protected historical and cultural site at the national level, and made pure manually through the Luzhou Laojiao traditional baijiu-making techniques, which have been included in the first group of the ""Representatives of National Intangible Cultural Heritages."" It has an extremely complex floral aroma and rich taste. Enjoy it neat with fine Chinese dining.
",,[],,,399865,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/399865.jpeg,303,2023-05-08 09:10:01,,1,"['06901798104595', '06901798138910']",False,,0.5,[],1573  NATIONAL CELLAR -,,China,False,,2,2,,,False,24.0,,0.52,,False,[],SR,,1573  NATIONAL CELLAR ,CN,,China Spirits,Other Spirits,False,False,0,257.99,,False,,,1573  national cellar -,,,506,Spirits,,,1004,1016,1064,151.5,78170.97,0.26,992.2692307692307,0.12121212121212122
1,bcls,product,753905,0.3645388,1792 SMALL BATCH KENTUCKY STRAIGHT BOURBON,,,Whisky,4.1,[],,58.99,,,,,"94 Points, Ultimate Spirits Challenge 2021: ""This golden-hued Bourbon calls to mind butterscotch hard candies, blondie bars, toasted coconut, and sweet cream on the nose. Bosc pears and golden apples mingle with maple and cinnamon on the palate with a hint of red orchard fruits on the finish.""
",,[],,,753905,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/753905.jpeg,466,2023-05-08 09:10:01,,1,"['00088100000021', '00080660001203']",False,,0.75,[],1792 SMALL BATCH KENTUCKY STRAIGHT BOURBON,,USA,False,,2,2,,,False,42.0,1792 SMALL BATCH KENTUCKY STRAIGHT BOURBON,0.469,,False,[],SH,,,US,,Bourbon Whiskey,Whisky / Whiskey,False,False,0,58.99,,False,,,1792 small batch kentucky straight bourbon,,,162,Spirits,,,1004,1024,1284,349.5,27489.34,0.35175,167.7043354655295,0.21212121212121213
2,bcls,product,243782,0.3555091,1800 - COCONUT,,,Tequila,3.3,[],,42.49,,,,,"Crafted from 100% Weber blue agave harvested at its peak, 1800 Coconut is a special selection of white tequilas, double-distilled and infused with natural, ripe coconut flavour. With its slightly sweet and medium-bodied tropical ​taste, this versatile spirit is delicious on the rocks and tastes great mixed with pineapple juice.
",,[],,,243782,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/243782.jpeg,1914,2023-05-08 09:10:01,,1,['00811538010375'],False,,0.75,[],1800 - COCONUT,,Mexico,False,,2,2,,,False,156.0, COCONUT,0.35,,False,[],SR,,1800 ,MX,,Flavoured Tequila,Tequila,False,False,0,42.49,,False,,,1800 - coconut,,,479,Spirits,,,1004,1022,1271,1435.5,81325.86,0.26249999999999996,161.8666666666667,0.7878787878787878
3,bcls,product,415602,0.3555091,1800 - CRISTALINO,,,Tequila,4.1,[],,70.99,,,,,"Double Gold, SIP Awards 2021. 1800 Cristalino is a beautiful contradiction. It is aged in French and American oak barrels, married together, then rested in port wine casks. Finally, it is meticulously filtered to crystal-clear clarity while retaining the depth and complexity of aÃ±ejo along with the silky smoothness of a blanco. Aromas of subtle oak and hints of vanilla. Luxuriously smooth flavour with nutty touches and a hint of citrus. The finish is long, silky, crisp and clean.
",,[],,,415602,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/415602.jpeg,426,2023-05-08 09:10:01,,1,['00811538016469'],False,,0.75,[],1800 - CRISTALINO,,Mexico,False,,2,2,,,False,52.0, CRISTALINO,0.4,,False,[],SH,,1800 ,MX,,Blanco/Silver Tequila,Tequila,False,False,0,70.99,,False,,,1800 - cristalino,,,32,Spirits,,,1004,1022,1270,319.5,30241.739999999998,0.30000000000000004,236.63333333333327,0.26262626262626265
4,bcls,product,856344,0.3645388,1800 - REPOSADO RESERVA,,,Tequila,3.2,[],True,41.99,,,2023-04-30T00:00:00.000-07:00,,"Crafted using matured 100% Weber blue agave grown in volcanic soil and handpicked at peak maturity, a special selection of white tequilas are rested in new American and French oak barrels. The result is a rich liquid with notes of buttery caramel, mild spices and a touch of smokiness. Perfect mixed in a cocktail, sipped neat or on the rocks.
",2023-04-30T00:00:00.000-07:00,['On Sale'],2023-06-03T00:00:00.000-07:00,,856344,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/856344.jpeg,2180,2023-05-08 09:10:01,,1,"['00721059227506', '00811538010238']",False,,0.75,[],1800 - REPOSADO RESERVA,,Mexico,False,,2,2,,,False,168.0, REPOSADO RESERVA,0.4,,False,['On Sale'],SR,,1800 ,MX,,Gold Tequila,Tequila,False,False,0,39.99,,False,,,1800 - reposado reserva,,2023-06-03T00:00:00.000-07:00,362,Spirits,,,1004,1022,1272,1635.0,91538.2,0.30000000000000004,139.96666666666664,0.8484848484848485
5,bcls,product,869479,0.3555091,1800 - SILVER RESERVA,,,Tequila,3.1,[],,42.49,,,,,"The most popular super-premium tequila, 1800 Blanco follows the original formula created in the year 1800. Made from 100% Weber blue agave and handpicked at its peak maturity, 1800 Blanco is a special selection of white tequilas blended for added complexity and character. The smooth, balanced taste with hints of sweet fruit and pepper is perfect sipped neat, on the rocks, as a shot or in a cocktail.
",,[],,,869479,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/869479.jpeg,1216,2023-05-08 09:10:01,,1,['00811538010139'],False,,0.75,[],1800 - SILVER RESERVA,,Mexico,False,,2,2,,,False,108.0, SILVER RESERVA,0.4,,False,[],SR,,1800 ,MX,,Blanco/Silver Tequila,Tequila,False,False,0,42.49,,False,,,1800 - silver reserva,,,209,Spirits,,,1004,1022,1270,912.0,51667.840000000004,0.30000000000000004,141.63333333333333,0.5454545454545454
6,bcls,product,77996,0.3645388,400 CONEJOS MEZCAL,,,Tequila,4.5,[],,51.99,,,,,"According to native Mesoamerican traditions, priests were the only ones who could establish a channel of communication with the gods. To achieve it, they practiced ritual drinking of beverages made from agave. The gods of the drinks were called collectively centzon-totochin (400 rabbits) in Nahuatl. The number 400 was synonymous with ""innumerable"" and ""uncountable"". It is believed that the spirit of the 400 rabbits carries on to this day in each bottle of this fine mezcal. Smooth, lightly smoky and easy to drink, 400 Conejos is perfect for those beginning their mezcal-drinking journey.",,['New Product'],,,77996,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/77996.jpeg,136,2023-05-08 09:10:01,,1,['00811538013628'],False,,0.75,[],400 CONEJOS MEZCAL,,Mexico,False,,2,2,,,False,10.0,400 CONEJOS MEZCAL,0.4,,False,['New Product'],SH,,,MX,,Mezcal,Tequila,False,False,0,51.99,,True,,,400 conejos mezcal,,,2,Spirits,,,1004,1022,1273,102.0,7070.64,0.30000000000000004,173.29999999999998,0.050505050505050504
7,bcls,product,457604,0.3645388,818 TEQUILA - BLANCO,,,Tequila,3.1,[],True,75.99,,,2023-04-30T00:00:00.000-07:00,,"American model and media personality Kendall Jenner is behind 818 Tequila. Taste: Sweet agave and vanilla, with undertones of tropical and citrus fruit. Aroma: Lemongrass, mild floral elements, chamomile and light minerality. Body & Colour: Brilliant platinum, light body. Finish: Ultra smooth with a bright and crispy finish, notes of almond, key lime pie, and toasted coconut. What Makes It Special: Rested in oak barrels for a fresh vanilla roundness.
",2023-04-30T00:00:00.000-07:00,['On Sale'],2023-06-03T00:00:00.000-07:00,,457604,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/457604.jpeg,1131,2023-05-08 09:10:01,,1,"['00860006713409', '00195893687015']",False,,0.75,[],818 TEQUILA - BLANCO,,Mexico,False,,2,2,,,False,99.0, BLANCO,0.4,,False,['On Sale'],SH,,818 TEQUILA ,MX,,Blanco/Silver Tequila,Tequila,False,False,0,71.99,,False,,,818 tequila - blanco,,2023-06-03T00:00:00.000-07:00,151,Spirits,,,1004,1022,1270,848.25,85944.68999999999,0.30000000000000004,253.29999999999995,0.5
8,bcls,product,457595,0.3645388,818 TEQUILA - REPOSADO,,,Tequila,3.1,[],True,85.99,,,2023-04-30T00:00:00.000-07:00,,"American model and media personality Kendall Jenner is behind 818 Tequila. Taste: Ripe roasted agave flavour with notes of caramel and vanilla. Aroma: Vanilla, meringue, honey, and fruit accents. Body & Colour: Straw colour with golden hues and medium body. Finish: Smooth caramel finish with notes of sweet cooked agave and pecan pie. What Makes It Special: Aged in French and American oak barrels for a minimum of two months.
",2023-04-30T00:00:00.000-07:00,['On Sale'],2023-06-03T00:00:00.000-07:00,,457595,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/457595.jpeg,1047,2023-05-08 09:10:01,,1,"['00860006713423', '00195893031092']",False,,0.75,[],818 TEQUILA - REPOSADO,,Mexico,False,,2,2,,,False,97.0, REPOSADO,0.4,,False,['On Sale'],SH,,818 TEQUILA ,MX,,Gold Tequila,Tequila,False,False,0,81.99,,False,,,818 tequila - reposado,,2023-06-03T00:00:00.000-07:00,141,Spirits,,,1004,1022,1272,785.25,90031.53,0.30000000000000004,286.63333333333327,0.4898989898989899
9,bcls,product,163036,0.3645388,99 BANANAS - BANANA SCHNAPPS LIQUEUR,,,Liqueurs,4.3,[],,1.99,,,,,"99 Bananas is a 99-proof banana-flavoured schnapps, hence the name. Sweet and fruity, it is a fun addition to tropical drinks.
",,[],,,163036,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/163036.jpeg,18883,2023-05-08 09:10:01,,1,['00080660620992'],False,,0.05,[],99 BANANAS - BANANA SCHNAPPS LIQUEUR,,USA,False,,2,2,,,False,149.0, BANANA SCHNAPPS LIQUEUR,0.495,,False,[],SR,,99 BANANAS ,US,,Fruit Liqueurs,Liqueurs,False,False,0,1.99,,False,,,99 bananas - banana schnapps liqueur,,,60,Spirits,,,1004,1019,1211,944.1500000000001,37577.17,0.02475,80.4040404040404,0.7525252525252525
