,_index,_type,_id,_score,sort,redVarietal,isVQA,subCategory,consumerRating,featured,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured,promotionEndDate,isBCSpirit,sku,isLimitedTimeOffer,_featured,image,availableUnits,last_updated,subRegion,unitSize,upc,_blacklist,isDealcoholizedWine,volume,certificates,name,style,countryName,isBCCraft,region,statusCode,status,color,grapeType,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions,promotions,nameSanitized,isBCVQA,_promotionEndDate,votes,category,ribbons,category_id,subCategory_id,class_id,totalVolume,totalPrice,totalAlcoholContent,alcoholCost,storePercent
0,bcls,product,319657,0.5951133,50TH PARALLEL ESTATE - RIESLING,,True,Canada - BC,3.5,[],,24.99,,,,Riesling,"Intense stone fruit flavours of peach and nectarine, with hints of red apple and wet stone minerality. Crisp acidity on the palate with a citrus burst of lemon and lime flavours.
",,['BC VQA'],,,319657,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/319657.jpeg,807,2023-10-08 07:10:01,,1,['00626990162339'],False,,0.75,"['BC VQA', 'All VQA']",50TH PARALLEL ESTATE - RIESLING,,Canada,False,,2,2,WHITE,RIESLING,False,23.0, RIESLING,0.11,,False,['BC VQA'],ST,,50TH PARALLEL ESTATE ,CA,,Canada - BC White Wine,White Wine,False,False,0,24.99,01,False,,,50th parallel estate - riesling,True,,14,Wine,[],1005,1028,1079,605.25,20166.93,0.0825,302.9090909090909,0.12365591397849462
1,bcls,product,444781,0.6023824,ABRUZZO - CITRA ORTENSE,Other Blend,,Italy Wine,3.8,['New'],True,14.99,,,2023-10-01T00:00:00.000-07:00,,False,2023-10-01T00:00:00.000-07:00,"['BCL Select', 'On Sale']",2023-10-28T00:00:00.000-07:00,,444781,True,['New'],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/444781.jpeg,1783,2023-10-08 07:10:01,,1,"['08005493004728', '08005493002151']",False,,0.75,[],ABRUZZO - CITRA ORTENSE,,Italy,False,Other Italy Central,2,2,RED,OTHER BLEND,False,119.0, CITRA ORTENSE,0.125,,True,"['BCL Select', 'On Sale']",C,,ABRUZZO ,IT,,Italy Red Wine,Red Wine,False,False,0,11.99,00,False,"[{'urlAlias': '/promotion/new-arrivals', 'name': 'New For You', 'promoCode': '2023NEW', 'published': True, 'shortName': 'New'}]","[{'urlAlias': '/promotion/new-arrivals', 'name': 'New For You', 'promoCode': '2023NEW', 'published': True, 'shortName': 'New'}]",abruzzo - citra ortense,,2023-10-28T00:00:00.000-07:00,13,Wine,"[{'id': 'featured', 'label': 'FEATURED', 'labelLengthWithoutTags': 8}, {'id': 'exclusive', 'label': '<b>BC</b>L<em>SELECT</em>', 'labelLengthWithoutTags': 9}]",1005,1043,1203,1337.25,26727.170000000002,0.09375,159.89333333333335,0.6397849462365591
2,bcls,product,122867,0.6023824,ABRUZZO PECORINO - BARONE DI VALFORTE 2021,,,Italy Wine,3.6,[],True,21.99,,,2023-10-01T00:00:00.000-07:00,Other Blend,"This Pecorino wine is a classic expression of an ancient Italian variety. It's named after the Italian word for sheep — ""Pecora"" — that feed off these golden grapes. Aromas of wild honey, citrus and floral notes fill the nose, leading into a structured palate of light honeysuckle, pear and apricot.
",2023-10-01T00:00:00.000-07:00,"['BCL Select', 'On Sale']",2023-10-28T00:00:00.000-07:00,,122867,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/122867.jpeg,1003,2023-10-08 07:10:01,,1,['08033413003063'],False,,0.75,[],ABRUZZO PECORINO - BARONE DI VALFORTE 2021,,Italy,False,Other Italy Central,2,2,WHITE,OTHER BLEND,False,38.0, BARONE DI VALFORTE 2021,0.13,,True,"['BCL Select', 'On Sale']",C,,ABRUZZO PECORINO ,IT,,Italy White Wine,White Wine,False,False,0,19.99,00,False,,,abruzzo pecorino - barone di valforte 2021,,2023-10-28T00:00:00.000-07:00,103,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': '<b>BC</b>L<em>SELECT</em>', 'labelLengthWithoutTags': 9}]",1005,1043,1206,752.25,22055.969999999998,0.0975,225.53846153846152,0.20430107526881722
3,bcls,product,432123,0.6023824,ABRUZZO PINOT GRIGIO - MARE DI SIRENA,,,Italy Wine,3.8,[],True,14.99,,,2023-10-01T00:00:00.000-07:00,Pinot Gris / Pinot Grigio,"This classic Pinot Grigio shows flavours of citrus, white peach and a hint of pear. A crisp sea-spray mineral note leads to a clean, refreshing finish. It's the perfect wine to enjoy as an aperitif or paired with seafood, summer salads or shrimp risotto.
",2023-10-01T00:00:00.000-07:00,"['BCL Select', 'On Sale']",2023-10-28T00:00:00.000-07:00,,432123,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/432123.jpeg,2148,2023-10-08 07:10:01,,1,['00627987558494'],False,,0.75,[],ABRUZZO PINOT GRIGIO - MARE DI SIRENA,,Italy,False,Other Italy South,2,2,WHITE,PINOT GRIS/PINOT GRIGIO,False,141.0, MARE DI SIRENA,0.125,,True,"['BCL Select', 'On Sale']",C,,ABRUZZO PINOT GRIGIO ,IT,,Italy White Wine,White Wine,False,False,0,12.99,00,False,,,abruzzo pinot grigio - mare di sirena,,2023-10-28T00:00:00.000-07:00,42,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': '<b>BC</b>L<em>SELECT</em>', 'labelLengthWithoutTags': 9}]",1005,1043,1206,1611.0,32198.52,0.09375,159.89333333333335,0.7580645161290323
4,bcls,product,712331,0.6023824,ACQUESI  - ASTI,,,Italy Wine,3.6,[],True,20.99,,,2023-10-01T00:00:00.000-07:00,Muscat / Moscato,"An aromatic and sweet white sparkling wine. Pale yellow in colour, the nose is fresh and intriguing, with hints of white flowers, peaches and citrus zest. It pairs well with pastries, pies or stuffed peaches. It makes for an excellent dessert wine.
",2023-10-01T00:00:00.000-07:00,"['BCL Select', 'On Sale']",2023-10-28T00:00:00.000-07:00,,712331,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/712331.jpeg,1797,2023-10-08 07:10:01,Other,1,['08056457510182'],False,,0.75,[],ACQUESI  - ASTI,,Italy,False,Piedmont,2,2,WHITE,MUSCAT/MOSCATO,False,124.0, ASTI,0.07,,True,"['BCL Select', 'On Sale']",C,,ACQUESI  ,IT,,Italy Sparkling Wine,Sparkling Wine,False,False,0,18.49,08,False,,,acquesi  - asti,,2023-10-28T00:00:00.000-07:00,322,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': '<b>BC</b>L<em>SELECT</em>', 'labelLengthWithoutTags': 9}]",1005,1043,1205,1347.75,37719.03,0.052500000000000005,399.80952380952374,0.6666666666666666
5,bcls,product,419721,0.5951133,ADEGA ON 45TH - MERLOT,Merlot,True,Canada - BC,4.0,[],,19.99,,,,,"This fruit forward wine has aromas of blackberry, plums and cocoa. Strawberry and soft toffee complement the vanilla and oak undertones. Great flavors of raspberry jam and anise are left on the palate with firm tannins. Very easy to drink, but still powerful enough to satisfy drinkers of big reds!
",,['BC VQA'],,,419721,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/419721.jpeg,646,2023-10-08 07:10:01,,1,"['00696852039109', '00626990192770', '00626990445661']",False,,0.75,"['BC VQA', 'All VQA']",ADEGA ON 45TH - MERLOT,,Canada,False,,2,2,RED,MERLOT,False,42.0, MERLOT,0.154,,False,['BC VQA'],SM,,ADEGA ON 45TH ,CA,,Canada - BC Red Wine,Red Wine,False,False,0,19.99,00,False,,,adega on 45th - merlot,True,,34,Wine,[],1005,1028,1077,484.5,12913.539999999999,0.11549999999999999,173.07359307359306,0.22580645161290322
6,bcls,product,783498,0.5951133,AGLIANICO DEL VULTURE - BASILISCO TEODOSIO 2020,Aglianico,,Italy Wine,4.2,[],True,24.99,,,2023-10-01T00:00:00.000-07:00,,"An ample and broad bouquet that is infused with dark spice, dried blackberry and a slightly malolactic hint of milk chocolate. The finish is long and dusty, but there there is enough primary fruit to make this a very presentable red to drink. 
",2023-10-01T00:00:00.000-07:00,['On Sale'],2023-10-28T00:00:00.000-07:00,,783498,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/783498.jpeg,999,2023-10-08 07:10:01,,1,"['08027919192017', '08027919112015', '08027919132013', '08027919142012', '08027919122014', '08027919182018', '08027919162010', '08027919152011']",False,,0.75,[],AGLIANICO DEL VULTURE - BASILISCO TEODOSIO 2020,,Italy,False,Other Italy South,2,2,RED,AGLIANICO,False,89.0, BASILISCO TEODOSIO 2020,0.14,,False,['On Sale'],SR,,AGLIANICO DEL VULTURE ,IT,,Italy Red Wine,Red Wine,False,False,0,21.99,00,False,,,aglianico del vulture - basilisco teodosio 2020,,2023-10-28T00:00:00.000-07:00,239,Wine,[],1005,1043,1203,749.25,24965.01,0.10500000000000001,237.99999999999997,0.478494623655914
7,bcls,product,282263,0.5951133,AGLIANICO DEL VULTURE - SIIR SAN MARTINO,Aglianico,,Italy Wine,0.0,[],,34.99,,,,,False,,['New Product'],,,282263,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/282263.jpeg,226,2023-10-08 07:10:01,,1,['08052440572014'],False,,0.75,[],AGLIANICO DEL VULTURE - SIIR SAN MARTINO,,Italy,False,Other Italy South,2,2,RED,AGLIANICO,False,13.0, SIIR SAN MARTINO,0.13,,False,['New Product'],ST,,AGLIANICO DEL VULTURE ,IT,,Italy Red Wine,Red Wine,False,False,0,34.99,00,True,,,aglianico del vulture - siir san martino,,,0,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'new', 'label': 'NEW', 'labelLengthWithoutTags': 3}]",1005,1043,1203,169.5,7907.740000000001,0.0975,358.87179487179486,0.06989247311827956
8,bcls,product,556126,0.6023824,AIX EN PROVENCE ROSE - BIELER PERE & FILS CUVEE SABINE 2020,,,France Wine,3.7,[],,24.99,,,,,"90 Points, Vinous: ""Fresh red berries, citrus fruits and floral notes on the fragrant nose. Dry and energetic in the mouth, offering lively strawberry, cherry and tangerine flavors that flesh out through the midpalate. Closes long and subtly spicy, with repeating citrus fruit and floral character.""
",,['BCL Select'],,,556126,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/556126.jpeg,493,2023-10-08 07:10:01,,1,['00856622001013'],False,,0.75,[],AIX EN PROVENCE ROSE - BIELER PERE & FILS CUVEE SABINE 2020,,France,False,Provence,3,3,ROSE,NOT APPLICABLE,False,31.0, BIELER PERE & FILS CUVEE SABINE 2020,0.13,,True,['BCL Select'],C,,AIX EN PROVENCE ROSE ,FR,,France Rose Wine,Rose Wine,False,False,1,24.99,00,False,,,aix en provence rose - bieler pere & fils cuvee sabine 2020,,,122,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': '<b>BC</b>L<em>SELECT</em>', 'labelLengthWithoutTags': 9}]",1005,1037,1153,369.75,12320.07,0.0975,256.30769230769226,0.16666666666666666
9,bcls,product,150519,0.6023824,AIX EN PROVENCE ROSE - CHATEAU BARBEBELLE ROSE FLEURI 2022,,,France Wine,4.3,[],,22.99,,,,,"93 Points, Decanter's Rose Wines of the Year 2020 - ""Ripe stone fruit, summer berries and rose aromas. Raspberry and ripe cherry provide sunny, warm fruits on the palate that sit alongside balanced acidity and an appealing weight.
",,['BCL Select'],,,150519,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/150519.jpeg,1071,2023-10-08 07:10:01,,1,"['03414010000429', '03414010000054', '03414010000269', '03414010000351', '03414011800073', '03414010000092']",False,,0.75,[],AIX EN PROVENCE ROSE - CHATEAU BARBEBELLE ROSE FLEURI 2022,,France,False,Provence,2,2,ROSE,NOT APPLICABLE,False,74.0, CHATEAU BARBEBELLE ROSE FLEURI 2022,0.13,,True,['BCL Select'],C,,AIX EN PROVENCE ROSE ,FR,,France Rose Wine,Rose Wine,False,False,0,22.99,00,False,,,aix en provence rose - chateau barbebelle rose fleuri 2022,,,128,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': '<b>BC</b>L<em>SELECT</em>', 'labelLengthWithoutTags': 9}]",1005,1037,1153,803.25,24622.289999999997,0.0975,235.79487179487177,0.3978494623655914
